p_val,avg_log2FC,pct.1,pct.2,p_val_adj,expression
1.88483271783393e-193,9.42213837674658,0.478,0.296,4.05031702735334e-189,Up-regulated
1.08213470783429e-188,1.67471335572566,0.913,0.902,2.32539927366511e-184,Up-regulated
1.53113289495911e-91,6.68398501189402,0.278,0.129,3.29025147797762e-87,Up-regulated
8.6555921637816e-80,8.88099411844428,0.27,0.152,1.86000020007503e-75,Up-regulated
4.7631625034568e-74,1.01442345519708,0.652,0.577,1.02355599036783e-69,Unchanged
1.87661620747714e-63,0.793524617560728,1,0.95,4.03266056824762e-59,Unchanged
1.23034122994807e-62,0.617509212559351,1,1,2.6438802690354e-58,Unchanged
9.66894364959791e-56,1.39490144440678,0.93,0.718,2.0777593008621e-51,Unchanged
5.52286010245397e-54,0.877210768065584,1,0.899,1.18680740741633e-49,Unchanged
2.05454205386379e-51,0.610646653823453,1,0.978,4.4150054195479e-47,Unchanged
4.77787934783469e-51,0.892823958071407,0.461,0.321,1.0267184930562e-46,Unchanged
6.63697619539939e-51,7.67737416669635,0.243,0.081,1.42621981462938e-46,Up-regulated
2.04507549927013e-41,0.569522039961478,0.496,0.439,4.39466274038159e-37,Unchanged
4.53019595031523e-41,0.879158664067203,0.939,0.836,9.7349380776324e-37,Unchanged
4.97221343259538e-41,0.553308602720912,0.591,0.417,1.06847894453042e-36,Unchanged
1.34641650656952e-39,6.40685316589817,0.209,0.064,2.89331443096725e-35,Up-regulated
8.16608461114811e-38,0.699006902611352,0.896,0.798,1.75480992208962e-33,Unchanged
2.96463143743544e-37,0.7623517454973,0.583,0.338,6.37069649590503e-33,Unchanged
4.84964030543978e-37,0.360574973583692,0.983,0.938,1.04213920523595e-32,Unchanged
5.53508026602002e-37,1.11339163585006,0.348,0.228,1.18943339836504e-32,Unchanged
3.27424483004483e-36,0.292811559532973,0.904,0.707,7.03602471528334e-32,Unchanged
4.46360333810757e-36,0.384624781173595,0.957,0.845,9.59183721325936e-32,Unchanged
